Fecha_Ocurrencia,Direccion,Barrio,Vehiculos Involucrados,Heridos,Accidente con,Muertes,Clase de Accidente,Día,Mes,Año,Mortalidad,Mortalidad_label
2024-08-03,CALLE 16A N.41 -33  -  BALCONES DE SAN DIEGO,BALCONES DE SAN DIEGO,1,1,HERIDOS,0,ATROPELLO,3,8,2024,False,Sin mortalidad
2024-08-09,CALLE 15 CARRERA 15 -  SIN INFORMACIÃN DEL BARRIO,No registra,2,1,HERIDOS,0,CHOQUE,9,8,2024,False,Sin mortalidad
2024-08-10,CALLE 14 CARRERA 30 - BANCARIIOS,No registra,2,3,HERIDOS,0,CHOQUE,10,8,2024,False,Sin mortalidad
2024-08-10,AVENIDA 23 N. 28-65  -  VILLA LUCIA,VILLA LUCIA,2,2,HERIDOS,0,CHOQUE,10,8,2024,False,Sin mortalidad
2024-08-12,CALLE 14 CRA 36 -  SIN INFORMACIÃN DEL BARRIO,No registra,2,2,HERIDOS,0,CHOQUE,12,8,2024,False,Sin mortalidad
2024-08-18,CARRERA 17 CALLE  17 -  SIN INFORMACIÃN DEL BARRIO,No registra,2,1,HERIDOS,0,CHOQUE,18,8,2024,False,Sin mortalidad
2024-08-17,DIAGONAL 8 N.18-127  - BARR/LAS FERIAS,No registra,2,2,HERIDOS,0,CHOQUE,17,8,2024,False,Sin mortalidad
2024-08-17,CARRERA 23 FRENTE ALA ESTACION PRIMAX  -,No registra,2,2,HERIDOS,0,CHOQUE,17,8,2024,False,Sin mortalidad
2024-08-18,KILOMETRO 15 VIA VAQUEROS -CHICHIMENE  -,No registra,2,0,MUERTOS,1,CHOQUE,18,8,2024,True,Con mortalidad
2024-08-20,CALLE 13 CARRERA 25 -  SAN JOSÃ,SAN JOSÃ,2,1,HERIDOS,0,CHOQUE,20,8,2024,False,Sin mortalidad
2024-08-24,CALLE 16 CARRERA 31 -  SIN INFORMACIÃN DEL BARRIO,No registra,2,1,HERIDOS,0,CHOQUE,24,8,2024,False,Sin mortalidad
2024-08-23,CARRERA 30 N-22A-20  -  LA ORQUIDEA REAL,LA ORQUIDEA REAL,2,1,HERIDOS,0,CHOQUE,23,8,2024,False,Sin mortalidad
2024-08-29,KILOMETRO 27+200 MTS   -  VÃA GRANADA-VILLAVICENCIO,Afueras de la ciudad,2,2,HERIDOS,0,CHOQUE,29,8,2024,False,Sin mortalidad
2024-09-07,CARRERA 23 N 11-05  - DORADO ALTO,No registra,2,1,HERIDOS,0,CHOQUE,7,9,2024,False,Sin mortalidad
2024-09-05,CALLE 14 N.15-56  -  SIN INFORMACIÃN DEL BARRIO,No registra,3,3,HERIDOS,0,CHOQUE,5,9,2024,False,Sin mortalidad
2024-09-07,KILOMETRO 56+210 MTS   -  VÃA GRANADA-VILLAVICENCIO,Afueras de la ciudad,1,1,HERIDOS,0,ATROPELLO,7,9,2024,False,Sin mortalidad
2024-09-11,KILOMETRO 46+650 MTS   -  VÃA GRANADA-VILLAVICENCIO,Afueras de la ciudad,2,2,HERIDOS,0,CHOQUE,11,9,2024,False,Sin mortalidad
